# Auto generated file Fri Mar 21 12:39:20 2014 
# 
# Number of fleets (res+con+sur)
 2 
# Fleet types (res=0, con=1, sur=2)
 0 2 
# Sample times (only relevent for sur)
 0 0.125 
# Number of years
 50 
# Years
 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 
# Number of observations 
 493 
# Index1 (index of first obs in each year) 
 1 8 15 22 29 36 43 50 57 64 71 78 85 92 99 106 113 120 127 134 141 153 165 177 189 201 213 225 237 249 261 273 285 297 309 321 333 345 357 369 381 393 405 417 429 441 453 465 477 489 
# Index2 (index of last obs in each year) 
 7 14 21 28 35 42 49 56 63 70 77 84 91 98 105 112 119 126 133 140 152 164 176 188 200 212 224 236 248 260 272 284 296 308 320 332 344 356 368 380 392 404 416 428 440 452 464 476 488 493 
# The observation matrix 
1987 1 5 1534.31
1987 1 6 1075.412
1987 1 7 565.162
1987 2 1 9.626
1987 2 2 33.252
1987 2 3 1.845
1987 2 4 2.032
1987 2 5 0.659
1988 1 1 36941.546
1988 1 2 72509.089
1988 1 3 44172.434
1988 1 4 3133.981
1988 1 5 2557.453
1988 1 6 655.493
1988 1 7 465.157
1988 2 1 6.99
1988 2 2 7.737
1988 2 3 7.96
1988 2 4 0.702
1988 2 5 0.865
1989 1 1 200504.418
1989 1 2 45108.528
1989 1 3 18685.393
1989 1 4 9865.819
1989 1 5 1001.946
1989 1 6 1035.953
1989 1 7 458.966
1989 2 1 14.953
1989 2 2 6.776
1989 2 3 5.877
1989 2 4 2.668
1989 2 5 0.412
1990 1 1 45932.317
1990 1 2 102988.318
1990 1 3 11984.889
1990 1 4 4339.136
1990 1 5 2467.635
1990 1 6 310.071
1990 1 7 445.374
1990 2 1 4.606
1990 2 2 15.376
1990 2 3 2.141
1990 2 4 1.046
1990 2 5 0.965
1991 1 1 61575.89
1991 1 2 31950.495
1991 1 3 17230.218
1991 1 4 3310.346
1991 1 5 1390.165
1991 1 6 1053.029
1991 1 7 405.858
1991 2 1 2.688
1991 2 2 5.061
1991 2 3 4.757
1991 2 4 1.042
1991 2 5 0.551
1992 1 1 131989.022
1992 1 2 42124.326
1992 1 3 8683.818
1992 1 4 5007.222
1992 1 5 1060.218
1992 1 6 490.691
1992 1 7 447.48
1992 2 1 16.439
1992 2 2 4.821
1992 2 3 1.364
1992 2 4 1.023
1992 2 5 0.312
1993 1 1 38895.703
1993 1 2 84390.413
1993 1 3 11371.562
1993 1 4 3189.599
1993 1 5 1577.319
1993 1 6 434.902
1993 1 7 352.966
1993 2 1 13.619
1993 2 2 20.429
1993 2 3 2.4
1993 2 4 0.807
1993 2 5 0.693
1994 1 1 340259.637
1994 1 2 42290.929
1994 1 3 21305.684
1994 1 4 3083.158
1994 1 5 869.856
1994 1 6 519.236
1994 1 7 254.168
1994 2 1 14.856
1994 2 2 4.51
1994 2 3 3.015
1994 2 4 0.86
1994 2 5 0.486
1995 1 1 61142.608
1995 1 2 107669.779
1995 1 3 12973.684
1995 1 4 5300.68
1995 1 5 802.213
1995 1 6 286.177
1995 1 7 225.244
1995 2 1 12.798
1995 2 2 27.878
1995 2 3 3.461
1995 2 4 1.363
1995 2 5 0.306
1996 1 1 19388.591
1996 1 2 60180.674
1996 1 3 24138.375
1996 1 4 3168.526
1996 1 5 1859.583
1996 1 6 398.547
1996 1 7 304.105
1996 2 1 4.384
1996 2 2 9.512
1996 2 3 6.368
1996 2 4 0.796
1996 2 5 0.663
1997 1 1 111076.923
1997 1 2 43085.446
1997 1 3 18686.82
1997 1 4 6498.575
1997 1 5 1238.443
1997 1 6 699.952
1997 1 7 239.874
1997 2 1 38.005
1997 2 2 7.597
1997 2 3 2.67
1997 2 4 1.142
1997 2 5 0.455
1998 1 1 16863.777
1998 1 2 172876.909
1998 1 3 18471.922
1998 1 4 5966.899
1998 1 5 2401.719
1998 1 6 509.215
1998 1 7 309.158
1998 2 1 2.951
1998 2 2 27.555
1998 2 3 2.309
1998 2 4 1.087
1998 2 5 0.552
1999 1 1 37491.471
1999 1 2 15467.853
1999 1 3 40661.681
1999 1 4 4034.169
1999 1 5 1445.5
1999 1 6 625.659
1999 1 7 339.669
1999 2 1 3.304
1999 2 2 1.878
1999 2 3 8.104
1999 2 4 0.804
1999 2 5 0.452
2000 1 1 46275.062
2000 1 2 28682.77
2000 1 3 6471.848
2000 1 4 6696.758
2000 1 5 1021.119
2000 1 6 384.915
2000 1 7 203.181
2000 2 1 6.639
2000 2 2 5.537
2000 2 3 0.889
2000 2 4 2.152
2000 2 5 0.436
2001 1 1 7819.998
2001 1 2 54778.105
2001 1 3 6972.277
2001 1 4 1142.486
2001 1 5 1079.773
2001 1 6 144.053
2001 1 7 132.503
2001 2 1 3.378
2001 2 2 9.316
2001 2 3 1.891
2001 2 4 0.293
2001 2 5 0.41
2002 1 1 20564.877
2002 1 2 10492.365
2002 1 3 15223.454
2002 1 4 2518.759
2002 1 5 366.071
2002 1 6 348.652
2002 1 7 101.28
2002 2 1 11.491
2002 2 2 4.24
2002 2 3 4.54
2002 2 4 0.671
2002 2 5 0.143
2003 1 1 8911.344
2003 1 2 19591.334
2003 1 3 4628.634
2003 1 4 2728.346
2003 1 5 460.41
2003 1 6 68.281
2003 1 7 73.795
2003 2 1 0.756
2003 2 2 4.168
2003 2 3 1.301
2003 2 4 1.415
2003 2 5 0.48
2004 1 1 13454.039
2004 1 2 8744.425
2004 1 3 6106.834
2004 1 4 1965.168
2004 1 5 987.633
2004 1 6 149.658
2004 1 7 76.829
2004 2 1 8.37
2004 2 2 2.114
2004 2 3 1.525
2004 2 4 0.435
2004 2 5 0.556
2005 1 1 12792.07
2005 1 2 13882.637
2005 1 3 2972.583
2005 1 4 1646.199
2005 1 5 478.44
2005 1 6 394.377
2005 1 7 65.584
2005 2 1 2.723
2005 2 2 3.283
2005 2 3 0.94
2005 2 4 0.665
2005 2 5 0.229
2006 1 1 28596.34
2006 1 2 10494.77
2006 1 3 5251.431
2006 1 4 1067.673
2006 1 5 482.577
2006 1 6 153.37
2006 1 7 144.4
2006 2 1 8.131
2006 2 2 1.644
2006 2 3 1.316
2006 2 4 0.261
2006 2 5 0.156
2007 1 1 15862.315
2007 1 2 27035.406
2007 1 3 3949.468
2007 1 4 1902.593
2007 1 5 356.039
2007 1 6 138.987
2007 1 7 85.189
2007 2 1 3.397
2007 2 2 6.658
2007 2 3 1.247
2007 2 4 0.375
2007 2 5 0.331
2008 1 1 8939.978
2008 1 2 12565.075
2008 1 3 11767.302
2008 1 4 1212.418
2008 1 5 717.507
2008 1 6 183.272
2008 1 7 131.525
2008 2 1 3.62
2008 2 2 2.279
2008 2 3 3.09
2008 2 4 0.721
2008 2 5 0.464
2009 1 1 9219.569
2009 1 2 11422.983
2009 1 3 4197.569
2009 1 4 3279.627
2009 1 5 580.898
2009 1 6 261.204
2009 1 7 120.775
2009 2 1 2.178
2009 2 2 3.57
2009 2 3 1.179
2009 2 4 0.986
2009 2 5 0.327
2010 1 1 10347.251
2010 1 2 12004.236
2010 1 3 5642.472
2010 1 4 1618.197
2010 1 5 1302.627
2010 1 6 238.45
2010 1 7 122.087
2010 2 1 5.814
2010 2 2 4.635
2010 2 3 1.862
2010 2 4 0.648
2010 2 5 0.533
2011 1 1 5385.059
2011 1 2 15383.444
2011 1 3 4712.664
2011 1 4 1590.184
2011 1 5 613.327
2011 1 6 586.097
2011 1 7 111.493
2011 2 1 1.103
2011 2 2 7.038
2011 2 3 1.94
2011 2 4 0.75
2011 2 5 0.417
2012 2 1 5.144
2012 2 2 3.529
2012 2 3 4.942
2012 2 4 1.214
2012 2 5 0.326
# Proportion mature
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
0.01 0.05 0.23 0.62 0.86 1 1
# Stock mean weights
0.314 0.808 2.647 4.491 6.794 9.409 11.9405996601363
0.357 0.762 2.367 4.528 6.447 8.52 10.8862810407266
0.313 0.9 2.295 4.512 7.274 9.498 12.1943645473507
0.314 0.836 2.437 4.169 7.027 9.599 12.5355232214736
0.326 0.868 2.395 3.153 6.803 9.61 12.4383192278566
0.328 0.847 2.215 4.094 5.341 8.02 9.48139084111269
0.416 0.755 2.127 3.852 5.715 6.722 9.79355178235519
0.449 0.845 2.028 4.001 6.131 7.945 10.5119765351441
0.313 0.834 2.188 4.258 6.528 8.646 11.3120713710436
0.3 0.729 2.08 3.968 6.011 8.246 10.2984139683637
0.335 0.7 1.912 3.776 5.488 7.453 9.76008056059651
0.304 0.901 2.206 4.156 6.174 8.333 11.3140859298567
0.304 0.76 2.348 4.226 6.404 8.691 11.2838271911699
0.199 0.722 2.449 4.577 6.494 8.62 10.7772439403379
0.295 0.673 2.128 4.606 6.714 8.828 10.7641927012345
0.432 0.743 2.001 4.146 6.53 8.667 10.917441823326
0.291 0.905 2.411 4.423 6.579 8.474 11.6163171591063
0.258 0.917 1.948 4.401 6.109 9.12 10.842850133828
0.329 0.769 2.186 4.615 7.045 8.884 10.8631778907346
0.358 0.908 1.856 4.13 6.785 8.903 11.505754886563
0.403 0.882 1.833 3.88 6.491 8.423 10.7278341539429
0.304 0.921 2.156 3.972 6.19 8.362 11.1156226977507
0.314 0.8 2.132 4.164 6.324 8.43 11.5020986722472
0.293 0.782 1.822 3.504 6.23 8.14 10.8777735068829
0.437 0.773 1.955 3.65 6.052 8.307 11.7773112399631
0.466 0.753 1.974 3.187 5.992 7.914 11.3685665807459
0.364 0.931 1.81 3.585 5.273 7.921 10.85178020812
0.382 0.69 2.165 3.791 5.931 7.89 11.0778835383296
0.392 0.889 1.994 3.971 6.082 8.033 10.4625536739451
0.395 0.97 2.545 4.223 6.247 8.483 10.5642210467507
0.327 0.845 2.478 4.551 6.54 8.094 10.3802053030604
0.305 0.788 2.188 4.471 7.167 8.436 10.3629062627868
0.42 0.768 2.207 4.293 7.22 8.98 10.9229418097707
0.433 0.831 2.095 4.034 6.637 8.494 10.5575595501554
0.386 0.797 2.117 3.821 6.228 8.394 10.7199207583982
0.372 0.633 1.622 3.495 5.387 7.563 10.1181308360127
0.317 0.732 1.405 3.305 5.726 7.403 9.31419209877852
0.354 0.903 1.747 3.216 4.903 7.488 10.0184222491276
0.372 0.605 2.093 3.663 5.871 7.333 9.84925468857309
0.456 0.916 1.712 3.857 5.372 7.991 10.2047126579779
0.275 0.752 1.533 3.191 5.113 7.27 9.8288833118775
0.341 0.671 1.713 3.096 5.172 7.426 9.50912128232829
0.348 0.895 1.945 3.695 5.055 7.555 10.2324164277873
0.217 0.771 1.972 3.61 5.59 6.848 9.26988137811634
0.276 0.863 2.187 4.064 5.607 8.467 9.67628312340795
0.33 0.904 1.971 3.834 5.692 7.228 10.0954477475765
0.39 1.029 2.335 3.972 6.041 7.538 9.67204368453736
0.293 1.028 2.453 4.199 6.049 7.692 9.63098709117269
0.335 0.835 2.424 4.349 6.245 7.71 10.0075438727095
0.335 0.835 2.424 4.349 6.245 7.71 10.0075438727095
# Catch mean weights
0.314 0.808 2.647 4.491 6.794 9.409 11.9405996601363
0.357 0.762 2.367 4.528 6.447 8.52 10.8862810407266
0.313 0.9 2.295 4.512 7.274 9.498 12.1943645473507
0.314 0.836 2.437 4.169 7.027 9.599 12.5355232214736
0.326 0.868 2.395 3.153 6.803 9.61 12.4383192278566
0.328 0.847 2.215 4.094 5.341 8.02 9.48139084111269
0.416 0.755 2.127 3.852 5.715 6.722 9.79355178235519
0.449 0.845 2.028 4.001 6.131 7.945 10.5119765351441
0.313 0.834 2.188 4.258 6.528 8.646 11.3120713710436
0.3 0.729 2.08 3.968 6.011 8.246 10.2984139683637
0.335 0.7 1.912 3.776 5.488 7.453 9.76008056059651
0.304 0.901 2.206 4.156 6.174 8.333 11.3140859298567
0.304 0.76 2.348 4.226 6.404 8.691 11.2838271911699
0.199 0.722 2.449 4.577 6.494 8.62 10.7772439403379
0.295 0.673 2.128 4.606 6.714 8.828 10.7641927012345
0.432 0.743 2.001 4.146 6.53 8.667 10.917441823326
0.291 0.905 2.411 4.423 6.579 8.474 11.6163171591063
0.258 0.917 1.948 4.401 6.109 9.12 10.842850133828
0.329 0.769 2.186 4.615 7.045 8.884 10.8631778907346
0.358 0.908 1.856 4.13 6.785 8.903 11.505754886563
0.403 0.882 1.833 3.88 6.491 8.423 10.7278341539429
0.304 0.921 2.156 3.972 6.19 8.362 11.1156226977507
0.314 0.8 2.132 4.164 6.324 8.43 11.5020986722472
0.293 0.782 1.822 3.504 6.23 8.14 10.8777735068829
0.437 0.773 1.955 3.65 6.052 8.307 11.7773112399631
0.466 0.753 1.974 3.187 5.992 7.914 11.3685665807459
0.364 0.931 1.81 3.585 5.273 7.921 10.85178020812
0.382 0.69 2.165 3.791 5.931 7.89 11.0778835383296
0.392 0.889 1.994 3.971 6.082 8.033 10.4625536739451
0.395 0.97 2.545 4.223 6.247 8.483 10.5642210467507
0.327 0.845 2.478 4.551 6.54 8.094 10.3802053030604
0.305 0.788 2.188 4.471 7.167 8.436 10.3629062627868
0.42 0.768 2.207 4.293 7.22 8.98 10.9229418097707
0.433 0.831 2.095 4.034 6.637 8.494 10.5575595501554
0.386 0.797 2.117 3.821 6.228 8.394 10.7199207583982
0.372 0.633 1.622 3.495 5.387 7.563 10.1181308360127
0.317 0.732 1.405 3.305 5.726 7.403 9.31419209877852
0.354 0.903 1.747 3.216 4.903 7.488 10.0184222491276
0.372 0.605 2.093 3.663 5.871 7.333 9.84925468857309
0.456 0.916 1.712 3.857 5.372 7.991 10.2047126579779
0.275 0.752 1.533 3.191 5.113 7.27 9.8288833118775
0.341 0.671 1.713 3.096 5.172 7.426 9.50912128232829
0.348 0.895 1.945 3.695 5.055 7.555 10.2324164277873
0.217 0.771 1.972 3.61 5.59 6.848 9.26988137811634
0.276 0.863 2.187 4.064 5.607 8.467 9.67628312340795
0.33 0.904 1.971 3.834 5.692 7.228 10.0954477475765
0.39 1.029 2.335 3.972 6.041 7.538 9.67204368453736
0.293 1.028 2.453 4.199 6.049 7.692 9.63098709117269
0.335 0.835 2.424 4.349 6.245 7.71 10.0075438727095
# Natural Mortality
1.107 0.789 0.233 0.202 0.2 0.2 0.2
1.147 0.804 0.241 0.202 0.2 0.2 0.2
1.184 0.819 0.248 0.202 0.2 0.2 0.2
1.217 0.831 0.254 0.202 0.2 0.2 0.2
1.242 0.839 0.261 0.202 0.2 0.2 0.2
1.26 0.843 0.266 0.202 0.2 0.2 0.2
1.273 0.844 0.271 0.202 0.2 0.2 0.2
1.282 0.842 0.275 0.202 0.2 0.2 0.2
1.287 0.838 0.277 0.201 0.2 0.2 0.2
1.29 0.832 0.279 0.201 0.2 0.2 0.2
1.291 0.826 0.28 0.201 0.2 0.2 0.2
1.292 0.819 0.28 0.2 0.2 0.2 0.2
1.293 0.811 0.28 0.2 0.2 0.2 0.2
1.296 0.803 0.28 0.2 0.2 0.2 0.2
